model,precision,set,kind,arm,k,n,words,audio_min,n_clusters,mean_unique,mean_pairwise,conf_frac,lang,wer_first,mu_first,wer_conf,mu_conf,wer_minconf,mu_minconf,wer_logprob,mu_logprob,wer_mbr,mu_mbr,wer_cm05,mu_cm05,wer_cm15,mu_cm15,wer_rover_freq,mu_rover_freq,wer_rover_c,mu_rover_c,wer_rover_cg,mu_rover_cg,wer_oracle_cand,mu_oracle_cand,wer_anti,mu_anti,lg_wer_first,lg_wer_conf,lg_wer_mbr,lg_wer_rover_cg,lg_wer_oracle_cand,wer_oracle_comp,mu_oracle_comp,wer_control,mu_control,beats_best_pct
drax,,ami,lowT,lowT,1,400,3559,20.1,16,1.0,0.0,0.532665,en,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,10.901938746838999,16.23991378492708,12.291786329695578,12.291786329695578,12.291786329695578,12.291786329695578,12.291786329695578,,,,,
drax,,ami,lowT,lowT,2,400,3559,20.1,16,1.33,9.1702025,0.532665,en,10.901938746838999,16.23991378492708,10.73335206518685,15.433578320768387,10.817645406012925,15.455090836030902,10.73335206518685,15.433578320768387,10.789547625737567,15.55221733785563,10.705254284911492,15.138851519791585,10.5647653835347,15.063193625054744,11.2391121101433,16.6541882129844,10.930036527114359,16.060725651994666,10.930036527114359,16.060725651994666,9.328463051418938,13.140862049625342,12.531610002809778,18.860033654721786,,,,,,7.05254284911492,10.429935355863979,7.670694015172801,10.906257885673352,14.000000000000002
drax,,ami,lowT,lowT,3,400,3559,20.1,16,1.5625,8.9602,0.532665,en,10.901938746838999,16.23991378492708,10.817645406012925,16.1711820364971,10.873840966563641,16.27846378252885,10.873840966563641,16.226737592052658,10.480472042708627,15.184114024100143,10.705254284911492,15.283275279511397,10.508569822983985,15.226665003822177,10.283787580781118,15.00889383980101,10.424276482157909,15.3602827286899,10.5647653835347,16.157194613101783,8.626018544534983,12.16476103319538,13.852205675751616,21.388975939992672,,,,,,,,,,
drax,,ami,lowT,lowT,4,400,3559,20.1,16,1.755,8.61446,0.532665,en,10.901938746838999,16.23991378492708,11.126720989041866,17.245776932341997,11.154818769317224,16.831828994315114,11.126720989041866,17.245776932341997,10.25568980050576,15.010298117784238,10.396178701882551,15.234955173691292,10.25568980050576,15.149240887977006,10.396178701882551,15.537352908912252,10.396178701882551,15.760761324168495,10.480472042708627,16.2890385040189,8.401236302332116,11.979011621788072,14.638943523461647,23.05131711733385,,,,,,6.434391683057038,9.67358474153736,7.05254284911492,10.136107193285817,12.5
drax,,ami,lowT,lowT,5,400,3559,20.1,16,1.93,8.5361975,0.532665,en,10.901938746838999,16.23991378492708,10.845743186288283,17.332884176949243,10.986232087665075,16.95961999960612,10.845743186288283,17.332884176949243,10.227592020230402,14.844249981138272,10.199494239955044,14.759038214347559,10.115200899128968,14.708076213385556,10.143298679404326,14.948299878609223,10.368080921607193,15.53137419951249,10.396178701882551,15.546080081865432,8.17645406012925,11.726249106525556,14.91992132621523,23.63128875245254,,,,,,,,,,
drax,,ami,lowT,lowT,6,400,3559,20.1,16,2.1125,8.75836,0.532665,en,10.901938746838999,16.23991378492708,10.789547625737567,17.33181811338318,10.901938746838999,16.95207472081084,10.73335206518685,17.276262557827625,10.227592020230402,15.041311194778434,10.115200899128968,14.688270960159254,10.115200899128968,14.659410931299224,10.08710311885361,15.039202482340775,10.059005338578253,14.830194545832839,10.25568980050576,15.313665471621876,7.783085136274234,11.084894868975667,15.453779151447035,24.92815299931679,,,,,,,,,,
drax,,ami,lowT,lowT,8,400,3559,20.1,16,2.4075,8.734145,0.532665,en,10.901938746838999,16.23991378492708,10.73335206518685,17.553568585133654,10.817645406012925,17.067213529370697,10.73335206518685,17.553568585133654,9.946614217476819,14.823087035896378,10.143298679404326,14.77915533163573,9.946614217476819,14.590944178753523,9.806125316100028,14.637132249941596,10.059005338578253,15.274030768090114,10.115200899128968,15.419857857667205,7.277325091317786,10.412855037891719,15.790952514751334,25.472249060260676,,,,,,5.647653835347008,8.750785881414666,6.350098342230964,9.191984704521385,10.0
drax,,ami,lowT,lowT,10,400,3559,20.1,16,2.6925,8.7497625,0.532665,en,10.901938746838999,16.23991378492708,10.845743186288283,18.04120782211499,10.986232087665075,17.64279553995271,10.845743186288283,18.04120782211499,9.834223096375386,14.628092921823319,9.890418656926103,14.874725258784604,9.834223096375386,14.860782442341785,9.834223096375386,14.639026189335533,9.918516437201461,15.15071727602662,9.918516437201461,14.99899216290445,7.136836189940994,10.231794431831112,16.3529081202585,26.118524299182972,,,,,,,,,,
drax,,ami,lowT,lowT,12,400,3559,20.1,16,2.9775,8.76026,0.532665,en,10.901938746838999,16.23991378492708,11.014329867940432,18.19725940941658,10.958134307389717,17.279391703451047,11.014329867940432,18.19725940941658,9.77802753582467,14.616666154146552,9.890418656926103,14.717212632521978,9.806125316100028,14.686639699120093,9.77802753582467,14.601219551528896,9.834223096375386,14.837323031382377,9.890418656926103,14.962400731460077,6.996347288564204,10.137307899844581,16.914863725765663,27.083063380135563,,,,,,,,,,
drax,,ami,lowT,lowT,15,400,3559,20.1,16,3.3575,8.899185,0.532665,en,10.901938746838999,16.23991378492708,11.295307670694015,19.238874495110615,11.21101432986794,18.24102843416673,11.295307670694015,19.238874495110615,9.77802753582467,14.2496278561872,9.693734194998594,14.187172949982294,9.749929755549312,14.240500872060217,9.721831975273954,14.213376838686182,9.77802753582467,14.551417964227308,9.890418656926103,14.860018391577738,6.855858387187412,10.00715680094348,17.589210452374264,28.775616902150343,12.291786329695578,12.263067202757036,11.056863871338312,11.257897759908099,7.955198161975876,5.310480472042709,8.426175491804278,5.872436077549874,8.719355250641932,10.0
